"employment.farmers","employment.tradesmen","employment.managers","employment.workers","employment.unemployed","employment.middleempl","employment.retired","employment.employrate","employment.income","housing.density","housing.primaryres","housing.houses","housing.owners","housing.council","services.butcher","services.baker","services.postoffice","services.dentist","services.grocery","services.nursery","services.doctor","services.chemist","services.restaurant","environment.building","environment.water","environment.vegetation","environment.agricul"
1.98,3.68,3.97,38.25,13.6,9.63,28.9,89.26,17670.6,131.7,88.77," inf 90%",64.23," sup 5%","0","2 or +","1 or +","0","0","0","0","1","1",1.2622158,4.432559646,29.00154544,55.6163909
5.23,5.23,1.96,21.57,15.03,14.38,36.6,90.88,19422.49,21.21,87.52," sup 90%",77.12," inf 5%","0","0","0","0","1 or +","0","3 or +","0","1",0.41642938,0.338062187,48.69528479,45.29347634
0.1,4.38,5.56,35.98,18.23,15.48,20.28,90.25,21047.07,531.99,94.9," inf 90%",65.74," sup 5%","1","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",4.055176287,5.619427793,15.77670703,39.04847425
0.18,2.29,3.7,42.42,15.11,8.98,27.33,87.38,18014.52,101.21,93.79," sup 90%",66.54," sup 5%","0","1","1 or +","1 to 2","1 or +","0","3 or +","1","3 or +",1.389821436,31.99405893,12.54487834,36.19799524
0.3,3.8,8.19,18.65,13.04,12.07,43.97,89.43,27147.48,551.87,62.14," inf 90%",71.54," inf 5%","2 or +","2 or +","1 or +","3 or +","1 or +","0","3 or +","2 or +","3 or +",5.115988402,0.518877154,60.3254434,0
3.13,5.63,1.25,39.37,16.87,5.63,28.12,88.71,15897.99,63.82,81.02," sup 90%",80.54," inf 5%","0","1","0","0","1 or +","0","0","0","2",0.939484329,2.779064643,10.25214126,74.06318497
1.05,4.21,4.21,38.96,11.06,17.9,22.6,93.1,22195.04,138.42,91.33," sup 90%",72.68," inf 5%","0","0","0","0","1 or +","0","0","0","2",1.266733698,8.175567503,39.40901679,36.24028011
10.53,1.75,3.51,15.79,10.53,17.54,40.35,86.61,20358.45,32.72,89.26," sup 90%",78.45," inf 5%","0","0","0","0","1 or +","0","0","0","0",0.621625477,0.021993807,38.54741001,58.21144128
0.27,4.61,5.8,17.28,13.34,7.76,50.94,83.23,26286.51,1513.36,39.46," inf 90%",58.29," sup 5%","2 or +","2 or +","1 or +","3 or +","1 or +","1 or +","3 or +","2 or +","3 or +",11.70608409,0.004438682,51.75474257,0
0,2.3,0,55.17,9.2,14.94,18.39,92.43,20782.45,61.3,88.72," sup 90%",75.15," inf 5%","0","1","0","0","0","0","0","0","2",0.81351917,8.835039723,29.03387534,54.19229642
